"Use","Category"
"Bypass failed component","Temporary Circuit Bridge"
"Temporary test jumper","Temporary Circuit Bridge"
"Debug mode activation","Temporary Circuit Bridge"
"Circuit trace repair","Temporary Circuit Bridge"
"Power rail connection","Temporary Circuit Bridge"
"SMD Component Stabilizer","Miniature Component Holder"
"Lead Bend Jig","Miniature Component Holder"
"Micro-LED Positioner","Miniature Component Holder"
"Battery Contact Shim","Miniature Component Holder"
"Micro-Screw Holder","Miniature Component Holder"
"Miniature Vine Trellis","Tiny Sculptural Element"
"Dollhouse Coat Hanger","Tiny Sculptural Element"
"Model Ship Rigging","Tiny Sculptural Element"
"Micro Clay Armature","Tiny Sculptural Element"
"Fairy Garden Gate Latch","Tiny Sculptural Element"
"SIM ejector tool","Emergency Tool Improviser"
"Reset button poker","Emergency Tool Improviser"
"Eyeglass screw tightener","Emergency Tool Improviser"
"Clogged nozzle cleaner","Emergency Tool Improviser"
"Temporary circuit bridge","Emergency Tool Improviser"
"PCB Trace Tester","Conductivity Test Probe"
"Component Lead Validator","Conductivity Test Probe"
"Solder Joint Verifier","Conductivity Test Probe"
"Battery Contact Tester","Conductivity Test Probe"
"Connector Pin Tester","Conductivity Test Probe"
"Short Circuit Jumper","Temporary Circuit Bridge"
"Debug Mode Trigger","Temporary Circuit Bridge"
"Test Point Connection","Temporary Circuit Bridge"
"Temporary Ground Link","Temporary Circuit Bridge"
"LED Lead Holder","Miniature Component Holder"
"SMD Placement Aid","Miniature Component Holder"
"Coin Cell Clamp","Miniature Component Holder"
"Mini Heatsink Clip","Miniature Component Holder"
"Component Leg Stabilizer","Miniature Component Holder"
"Miniature Bonsai Armature","Tiny Sculptural Element"
"Diorama Micro-Fence","Tiny Sculptural Element"
"Tiny Figurine Skeleton","Tiny Sculptural Element"
"Micro-Abstract Sculpture","Tiny Sculptural Element"
"Dollhouse Hanging Rod","Tiny Sculptural Element"
"Circuit jumper wire","Emergency Tool Improviser"
"Small clog remover","Emergency Tool Improviser"
"Temporary lock pick","Emergency Tool Improviser"
"Splinter extraction tool","Emergency Tool Improviser"
"Improvised fishing hook","Emergency Tool Improviser"
"Test component leads","Conductivity Test Probe"
"Verify solder joint","Conductivity Test Probe"
"Probe small connector","Conductivity Test Probe"
"Diagnose wire break","Conductivity Test Probe"
"Clear earbud mesh.","Tiny Orifice Cleaner"
"Unclog pen nib.","Tiny Orifice Cleaner"
"Clear nozzle tip.","Tiny Orifice Cleaner"
"Clean watch stem.","Tiny Orifice Cleaner"
"Clear glasses hinge.","Tiny Orifice Cleaner"
"Short programming pins","Temporary Circuit Bridge"
"Prototype power jumper","Temporary Circuit Bridge"
"Bridge open circuit","Temporary Circuit Bridge"
"Solder component jig","Miniature Component Holder"
"LED alignment tool","Miniature Component Holder"
"Small wire loom","Miniature Component Holder"
"Tiny screw retainer","Miniature Component Holder"
"PCB stand-off support","Miniature Component Holder"
"Miniature Fence Post","Tiny Sculptural Element"
"Model Vehicle Antenna","Tiny Sculptural Element"
"Diorama Tree Branch","Tiny Sculptural Element"
"Tiny Rebar Simulation","Tiny Sculptural Element"
"Micro-sculpture Armature","Tiny Sculptural Element"
"Sim card ejector","Emergency Tool Improviser"
"Battery contact repair","Emergency Tool Improviser"
"Broken zipper fix","Emergency Tool Improviser"
"Small button resetter","Emergency Tool Improviser"
"Connect loose contacts","Conductivity Test Probe"
"Probe SMD pads","Conductivity Test Probe"
"Ground small component","Conductivity Test Probe"
"Probe PCB lines","Conductivity Test Probe"
"Clear charging port","Tiny Orifice Cleaner"
"Unclog spray nozzle","Tiny Orifice Cleaner"
"Open glue bottle","Tiny Orifice Cleaner"
"Clear 3D printer nozzle","Tiny Orifice Cleaner"
"Bridge test points","*   Circuit Jumper & Probe"
"Check micro-continuity","*   Circuit Jumper & Probe"
"Bypass blown fuse","*   Circuit Jumper & Probe"
"Reroute circuit signal","*   Circuit Jumper & Probe"
"Position small LED","*   Tiny Flexible Armatures"
"Retrieve dropped screw","*   Tiny Flexible Armatures"
"Angle micro-sensor","*   Tiny Flexible Armatures"
"Form custom mini-hook","*   Tiny Flexible Armatures"
"Reinforce miniature joint","*   Tiny Flexible Armatures"
"Unclog tiny sprayer","*   Delicate Clearing Instruments"
"Clear micro-jet","*   Delicate Clearing Instruments"
"Open printer head","*   Delicate Clearing Instruments"
"Extract slot lint","*   Delicate Clearing Instruments"
"Clean airbrush nozzle","*   Delicate Clearing Instruments"
"Secure bread bag.","*   Makeshift Fastener & Hanger"
"Attach key tag.","*   Makeshift Fastener & Hanger"
"Mend broken glasses.","*   Makeshift Fastener & Hanger"
"Hang lightweight ornament.","*   Makeshift Fastener & Hanger"
"Bind small bundle.","*   Makeshift Fastener & Hanger"
"Shape small symbols","*   Tactile Fidget Manipulatives"
"Twist sensory stim","*   Tactile Fidget Manipulatives"
