"Use","Category"
"Bypass failed component","Temporary Circuit Bridge"
"Temporary test jumper","Temporary Circuit Bridge"
"Debug mode activation","Temporary Circuit Bridge"
"Circuit trace repair","Temporary Circuit Bridge"
"Power rail connection","Temporary Circuit Bridge"
"SMD Component Stabilizer","Miniature Component Holder"
"Lead Bend Jig","Miniature Component Holder"
"Micro-LED Positioner","Miniature Component Holder"
"Battery Contact Shim","Miniature Component Holder"
"Micro-Screw Holder","Miniature Component Holder"
